Settle Date;Security;Maturity;Bid Price;Ask Price;Accrued
2022.11.03;A251126C19;2025.11.26;72.8953;73.0924;0.937
2022.11.03;A270422B20;2027.04.22;100.7;100.9;0.5553
2022.11.03;A410425A20;2041.04.25;45.2282;46.3471;1.5781
2022.11.03;A230823C20;2023.08.23;92.232;92.3181;0.2959
2022.11.03;A290523A20;2029.05.23;60.6768;61.2477;0.8986
2022.11.03;A260422E20;2026.04.22;71.0181;71.4059;0.8014
2022.11.03;A330420A20;2033.04.20;51.1534;52.289;1.2144
2022.11.03;A340622A21;2034.06.22;49.6833;50.661;0.826
2022.11.03;A290822B21;2029.08.22;97.7;97.95;2.4374
2022.11.03;A260826F21;2026.08.26;68.8184;69.2531;0.2836
2022.11.03;A510428G21;2051.04.28;48.1539;49.5218;2.0712
2022.11.03;A280323B22;2028.03.23;72.6995;73.2041;3.5507
2022.11.03;A321124A22;2032.11.24;66.6754;67.8118;3.7479
2022.11.03;A320527G22;2032.05.27;66.1414;67.2883;1.9726
2022.11.03;D230222;2023.02.22;96.59;96.6475;0
2022.11.03;D230419;2023.04.19;94.9438;95.0527;0
2022.11.03;D230628;2023.06.28;92.5091;92.6501;0
2022.11.03;D230823;2023.08.23;90.9338;91.0956;0
2022.11.03;D230517;2023.05.17;93.3979;93.5399;0
2022.11.03;D231018;2023.10.18;88.465;88.6551;0
2022.11.03;A320825B22;2032.08.25;96.55;96.95;0.5742
2022.11.04;A231124A07;2023.11.24;92.9472;93.1635;5.6712
2022.11.04;A281022A11;2028.10.22;80.7311;81.6428;0.2404
2022.11.04;A250624B14;2025.06.24;83.2888;83.7166;2.0041
2022.11.04;A240626B15;2024.06.26;85.0444;85.3621;1.0767
2022.11.04;A311022A15;2031.10.22;59.3608;60.3841;0.1158
2022.11.04;A271027A16;2027.10.27;67.9957;68.7889;0.0658
2022.11.04;A261222D17;2026.12.22;69.9278;70.5166;2.3884
2022.11.04;A230726B18;2023.07.26;101.08;101.53;0.4173
2022.11.04;A381027A18;2038.10.27;46.1412;47.0908;0.0658
2022.11.04;A241024C18;2024.10.24;81.7126;82.0209;0.0753
2022.11.04;A300821A19;2030.08.21;60.8206;61.8428;0.6164
2022.11.04;A251126C19;2025.11.26;72.3678;72.7586;0.9397
2022.11.04;A270422B20;2027.04.22;100.55;100.92;0.6016
2022.11.04;A410425A20;2041.04.25;43.3854;44.295;1.5863
2022.11.04;A230823C20;2023.08.23;92.1648;92.3232;0.3
2022.11.04;A290523A20;2029.05.23;59.795;60.6884;0.9041
2022.11.04;A260422E20;2026.04.22;70.3968;70.8653;0.8055
2022.11.04;A330420A20;2033.04.20;49.8136;50.8715;1.2205
2022.11.04;A340622A21;2034.06.22;47.8449;48.821;0.8322
2022.11.04;A290822B21;2029.08.22;97.56;97.949;2.4708
2022.11.04;A260826F21;2026.08.26;68.1795;68.7905;0.2877
2022.11.04;A510428G21;2051.04.28;45.9077;47.1698;2.0822
2022.11.04;A280323B22;2028.03.23;71.9307;72.6787;3.563
2022.11.04;A321124A22;2032.11.24;65.2952;66.3077;3.761
2022.11.04;A320527G22;2032.05.27;64.8041;65.9661;1.9849
2022.11.04;D230222;2023.02.22;96.6082;96.6796;0
2022.11.04;D230419;2023.04.19;95.035;95.1476;0
2022.11.04;D230628;2023.06.28;92.5664;92.6901;0
2022.11.04;D230823;2023.08.23;90.9619;91.13;0
2022.11.04;D230517;2023.05.17;93.3121;93.3356;0
2022.11.04;D231018;2023.10.18;88.4943;88.6687;0
2022.11.04;A320825B22;2032.08.25;96.4852;96.95;0.6124
2022.11.07;A231124A07;2023.11.24;92.9499;93.173;5.7205
2022.11.07;A281022A11;2028.10.22;80.1712;81.0373;0.2959
2022.11.07;A250624B14;2025.06.24;83.0551;83.5727;2.0493
2022.11.07;A240626B15;2024.06.26;85.014;85.3298;1.1014
2022.11.07;A311022A15;2031.10.22;58.7793;59.7485;0.1425
2022.11.07;A271027A16;2027.10.27;67.6977;68.4004;0.0904
2022.11.07;A261222D17;2026.12.22;69.6108;70.3175;2.411
2022.11.07;A230726B18;2023.07.26;101.08;101.5;0.5563
2022.11.07;A381027A18;2038.10.27;45.0463;46.0586;0.0904
